imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
5383304,ASTORIA,Passenger ship,2018.0,Not Applicable,,,,05/02/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,6307.75,,20080.25,16035.42,728.59,974.78,2341.47,,,,4170.2,139.07,,,,311.97,,442.71,,,,993.14,,,4170.2,,,,,,,,,,,,,,,,
6417097,MARCO POLO,Passenger ship,2018.0,Not Applicable,,,IC,05/02/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,8125.56,,25689.03,18028.86,3161.92,2155.09,2343.16,,,,4360.57,143.81,,,,202.42,,454.65,,,,639.96,,,4360.57,,,,,,,,,,,,,,,,
6511128,RED STAR 1,Ro-pax ship,2018.0,EIV (45.57 gCO₂/t·nm),,,,30/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,2205.37,,6941.34,380.99,2905.22,2893.35,761.75,4368.91,2572.43,,2712.0,54.43,,,,0.66,0.81,171.31,,,,2.07,2.6,,2712.0,,,,,,,,,,,,,,,,
6602898,OCEAN MAJESTY,Passenger ship,2018.0,EIV (31.73 gCO₂/t·nm),Madeira,,,06/05/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,Yes,,,,6151.4,,19478.27,14233.6,982.5,1374.1,2887.16,,,,4286.21,120.93,,,,355.05,,382.91,,,,1124.27,,,4286.21,,,,,,,,,,,,,,,,
6703343,EQUALITY,Other ship types,2018.0,Not Applicable,Beirut,,,30/06/2019,30/06/2020,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,549.0,,1724.63,0.0,938.13,753.25,33.25,,,,1008.0,63.46,91.14,,,,,199.36,286.3,,,,,,1008.0,,,,,,,,,,,,,,,,
7037806,BOHUS,Ro-pax ship,2018.0,EIV (146 gCO₂/t·nm),,,IC,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,5225.0,,16751.35,14623.63,0.0,0.0,2127.72,14238.65,2512.7,,3753.82,104.94,,,,317.41,64.5,336.43,,,,1017.63,206.78,0.0,3753.82,0.0,,,,,,,,,,,,,,,
7043843,TALOS,Ro-ro ship,2018.0,EEDI (60.41 gCO₂/t·nm),Piraeus,Piraeus,,25/07/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,Yes,,3784.12,,11959.02,11959.02,0.0,0.0,0.0,,,,3835.2,76.87,167.15,,,,,242.95,528.25,,,,,,3835.2,,,,,,,,,,,,,,,,
7108930,BLACK WATCH,Passenger ship,2018.0,,,,,14/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,,,8994.7,,28302.42,20465.88,0.0,4953.31,2883.23,,,,4656.0,165.28,,,,284.6,,520.05,,,,895.52,,,4656.0,,,,,,,,,,,,,,,,
7128332,SEA WIND,Ro-pax ship,2018.0,EIV (9.29 gCO₂/t·nm),Tallinn,Tallinn,IB,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,4079.71,,12912.35,12243.3,0.0,0.0,669.0,3085.35,9157.98,,3787.0,83.73,,,,592.19,54.61,265.0,,,,1873.44,172.77,,3787.0,,,,,,,,,,,,,,,,
7128887,ST DAMIAN,Ro-pax ship,2018.0,EIV (41.81 gCO₂/t·nm),,,,30/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,1283.26,,4069.59,0.0,1905.85,1905.85,257.89,1517.59,2551.99,,1112.0,93.33,,,,81.18,471.0,295.97,,,,260.25,1484.12,,1112.0,,,,,,,,,,,,,,,,
